gene,detection,pct_change
AC004112.1,0.0492,-23.41
SMIM30,0.0523,19.48
ST7-OT4,0.0728,-10.92
TMEM229A,0.053,3.28
GPR37,0.0695,5.53
SND1-IT1,0.0581,7.35
LRRC4,0.0663,-3.03
IMPDH1,0.0694,1.42
AC018638.6,0.0581,0.27
ATP6V1F,0.059,-18.95
TSPAN33,0.0677,-2.91
AKR1B1,0.0639,4.68
AC083862.3,0.0686,-15.13
SLC13A4,0.0705,-19.9
AC078842.2,0.0559,-40.26
FMC1,0.0698,-24.53
PARP12,0.0681,1.17
ADCK2,0.049,-2.47
CASP2,0.0705,8.82
AC004889.1,0.0627,9.4
ZNF777,0.0745,2.31
ATP6V0E2-AS1,0.0763,-20.53
AC073111.4,0.0494,5.56
TMUB1,0.0611,11.29
ABCF2,0.0732,-0.47
CHPF2,0.0518,-1.79
LINC01003,0.0506,-17.29
AC009403.1,0.0758,-15.17
RNF32,0.0604,-5.36
AC100810.1,0.0603,-20.95
AC034111.1,0.0475,-5.28
PRSS51,0.0533,-35.55
AC104964.4,0.0609,6.75
AC145124.1,0.0618,-8.08
AC022832.2,0.0673,18.5
MTMR7,0.0739,-12.67
PDGFRL,0.0554,-6.95
AC090541.1,0.0509,-35.51
POLR3D,0.0552,-10.96
PIWIL2,0.0567,-16.97
AC120193.1,0.0735,13.41
NEFL,0.0733,-14.75
AC026979.2,0.0687,-6.56
AF279873.4,0.0477,-24.19
LETM2,0.0716,-9.98
ST18,0.071,3.92
GGH,0.0705,-4.45
RRS1-AS1,0.0468,-2.9
MYBL1,0.0655,6.72
SULF1,0.073,-31.87
LACTB2,0.0735,-2.04
JPH1,0.067,-4.23
STMN2,0.0759,-5.36
HEY1,0.0663,-24.7
AC018616.1,0.046,-32.1
LINC02235,0.0704,13.23
CA1,0.0489,-31.12
AC004083.1,0.0749,-13.27
SLC26A7,0.0711,-0.76
AC104211.1,0.0613,19
RAD54B,0.0468,-5.01
FSBP,0.0673,3.75
POLR2K,0.0469,-14.72
DCAF13,0.0756,-1.91
RSPO2,0.0697,-2.81
TMEM74,0.0491,-13.6
AC023590.1,0.0607,-30.85
DSCC1,0.0461,-10.61
RNF139-AS1,0.051,-12.72
TRIB1,0.0685,12.39
ASAP1-IT2,0.0512,-2.82
CHRAC1,0.0619,0.78
LNCOC1,0.0546,-17.5
C8orf31,0.0679,-7.19
LY6H,0.0581,-8.9
GSDMD,0.0632,-10.99
NAPRT,0.0647,0.31
MAF1,0.0467,-7.44
BOP1,0.06,7.69
FBXL6,0.0503,-9.2
ADCK5,0.0706,-1.67
LRRC24,0.058,-15.91
C8orf82,0.0716,-9.44
