celltype,bin,gene,mean,det,n_cells
astro,0.3,RBFOX3,0.19317901525649,0.236333744348541,7299
astro,0.3,ATP6V1A,0.415352800442742,0.468420331552267,7299
astro,0.3,ATP6V1B2,0.120657784958983,0.178791615289766,7299
astro,0.3,ATP6V0A1,0.48373956168036,0.541170023290862,7299
astro,0.3,ATP6V0C,0.190887550012774,0.249760241128922,7299
astro,0.3,ATP6V0D1,0.118315138358631,0.169749280723387,7299
astro,0.3,ATP6V1E1,0.177226938122526,0.241265926839293,7299
astro,0.4,CA2,0.13868980907571,0.191791044776119,5360
astro,0.4,CA4,0.00628136145646003,0.0082089552238806,5360
astro,0.4,CA12,0.121482066832372,0.138805970149254,5360
astro,0.4,CA14,0.00505183334114836,0.00858208955223881,5360
astro,0.4,CA8,0.824971287856018,0.669216417910448,5360
astro,0.4,CA11,0.09869528045294,0.141044776119403,5360
astro,0.4,CA9,0.00163339424822758,0.00261194029850746,5360
astro,0.4,BSG,0.491455505971811,0.523320895522388,5360
astro,0.4,EMB,0.00822986818627635,0.0117537313432836,5360
astro,0.4,SLC4A4,2.06679645170138,0.95615671641791,5360
astro,0.4,SLC4A2,0.0577967490834087,0.0843283582089552,5360
astro,0.4,SLC4A10,0.183620664204902,0.233022388059702,5360
astro,0.4,SLC9A1,0.0489845540569122,0.0701492537313433,5360
astro,0.4,SLC9A6,0.161035674607465,0.222574626865672,5360
astro,0.4,SLC9A7,0.101132566479049,0.139365671641791,5360
astro,0.4,SLC16A1,0.0660212883975968,0.0917910447761194,5360
astro,0.4,SLC16A3,0.0721121270042747,0.104291044776119,5360
astro,0.4,SLC16A7,0.0759106431656809,0.100746268656716,5360
astro,0.4,NDUFA1,0.0889110124628268,0.128171641791045,5360
astro,0.4,NDUFA2,0.0875826780114378,0.124626865671642,5360
astro,0.4,NDUFA4,0.257119035845928,0.320708955223881,5360
astro,0.4,NDUFA8,0.0819995230953418,0.122201492537313,5360
astro,0.4,NDUFA9,0.196984516815352,0.266977611940299,5360
astro,0.4,NDUFA10,0.399183181578766,0.476305970149254,5360
astro,0.4,NDUFA13,0.235910509749135,0.300186567164179,5360
astro,0.4,NDUFB1,0.151464866004439,0.211940298507463,5360
astro,0.4,NDUFB2,0.169113285758936,0.226492537313433,5360
astro,0.4,NDUFB4,0.217281519435346,0.288992537313433,5360
astro,0.4,NDUFB6,0.145287780886266,0.199440298507463,5360
astro,0.4,NDUFB8,0.228991501386375,0.303171641791045,5360
astro,0.4,NDUFB9,0.0852147869320948,0.121641791044776,5360
astro,0.4,NDUFB10,0.0913213337062677,0.12294776119403,5360
astro,0.4,NDUFS1,0.531564286921118,0.579664179104478,5360
astro,0.4,NDUFS2,0.208719442818147,0.281529850746269,5360
astro,0.4,NDUFS3,0.0885701184758722,0.122014925373134,5360
astro,0.4,NDUFS4,0.376384288294991,0.442910447761194,5360
astro,0.4,NDUFS7,0.123268269444468,0.174253731343284,5360
astro,0.4,NDUFS8,0.116161278710325,0.159701492537313,5360
astro,0.4,NDUFV1,0.317363161841102,0.397574626865672,5360
