gene,rho
C12orf66,-0.0439023610339212
C12orf56,0.0190020151338999
DYRK2,0.120276307568231
YEATS4,0.159298648867122
CSRP2,-0.0109201274899878
OTOGL,0.289742068839678
DEPDC4,-0.107389375843768
SYCP3,0.160957439869255
PAH,0.149648883220353
C12orf75,-0.148681972220415
KCTD10,-0.266807495634822
MVK,-0.41379760908892
CUX2,-0.0668964817851783
ERP29,-0.0485799583812509
TESC,-0.132016609800144
KSR2,0.0111006634852067
PRKAB1,-0.157641465192531
BICDL1,0.287873394191155
POP5,0.0180146438664815
UNC119B,0.188942587505525
C12orf43,-0.10466098391909
DNAH10,0.193049559903422
TMEM132D,0.138615179454948
PUS1,0.119952312924407
POLE,0.172604233433822
PXMP2,0.179957905783721
MRPL57,-0.18241603202997
FLT1,-0.116105970959696
RFC3,-0.00130750453221592
CCDC169,0.313946737959281
KBTBD7,0.18270441163619
SLC25A30,0.00282651424524607
RCBTB2,0.0443056623012057
CKAP2,0.282377378711518
DCT,-0.213054362594451
SOX21,-0.00558792254887455
BIVM,0.220449359077238
ING1,0.0921518782261941
TMEM255B,-0.347847020967915
CHAMP1,-0.108100121644921
APEX1,0.162492577585495
PIP4P1,0.071585637105159
